"variable","GEOID","NAME","estimate","moe","label","concept"
"B14001_001","01","Alabama",4827159,2612,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","44","Rhode Island",1060152,1004,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","31","Nebraska",1875592,1221,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","56","Wyoming",556963,758,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","42","Pennsylvania",12561141,2905,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","30","Montana",1044103,843,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","55","Wisconsin",5680385,1772,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","41","Oregon",4076653,2311,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","29","Missouri",5925907,2331,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","17","Illinois",12385096,3617,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","02","Alaska",705984,743,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","45","South Carolina",4912656,2282,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","32","Nevada",2953938,1699,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","72","Puerto Rico",3243818,1653,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","06","California",38102066,5719,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","48","Texas",27720714,6774,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","19","Iowa",3065171,1242,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","05","Arkansas",2898265,1720,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","47","Tennessee",6619438,2382,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","18","Indiana",6508142,2534,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","04","Arizona",6842630,2349,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","46","South Dakota",846400,788,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","33","New Hampshire",1336082,833,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","21","Kentucky",4335297,1886,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","08","Colorado",5534589,2182,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","49","Utah",3085901,2003,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","20","Kansas",2825689,1534,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","24","Maryland",5938280,2596,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","11","District of Columbia",657926,835,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","35","New Mexico",2039883,1279,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","23","Maine",1319363,862,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","10","Delaware",950491,956,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","34","New Jersey",8923022,2957,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","22","Louisiana",4484742,2803,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","09","Connecticut",3499561,1766,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","50","Vermont",624405,619,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","37","North Carolina",10021005,3117,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","25","Massachusetts",6779673,2537,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","12","Florida",20685531,5403,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","36","New York",19436228,4371,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","40","Oklahoma",3799623,1569,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","28","Mississippi",2860645,1664,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
"B14001_001","53","Washington",7359170,2541,"Estimate!!Total:","SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER"
