GEOID,STATE,median_age,proportion_disability_35to64,proportion_married_couple_families,proportion_school_enrolled,proportion_poverty,proportion_no_earners,median_income,proportion_received_food_stamps,proportion_not_in_labor_force,proportion_with_computing_devices
23,Maine,44.7,0.14694875068393215,0.4820545508034126,0.2131293662168789,0.11047538042314389,0.16967866301784823,63274,0.8785617724107981,0.3714968280558657,0.9207934662314556
24,Maryland,38.9,0.10285040611477693,0.4738470188774643,0.2609876934061715,0.09157556539888197,0.11203483377277741,92879,0.8961377693122431,0.3247013878961344,0.9457430903947661
25,Massachusetts,39.6,0.10350251750637733,0.4673528466929556,0.25370810657092163,0.09898734750526811,0.12171173318564321,90756,0.8779645069642152,0.32758101707925275,0.9350048333952243
26,Michigan,39.8,0.14427367390158602,0.46802636035797257,0.24679360555170535,0.13299669401099762,0.1699364285651982,63114,0.874482772147662,0.3845129590844606,0.9242022778016807
27,Minnesota,38.2,0.10131088674332209,0.500223408550536,0.2582862376361212,0.09230126730653267,0.12814091833771307,78437,0.9249257547889282,0.30830822926935164,0.938222601049751
28,Mississippi,37.8,0.18764958522952704,0.44519379075829596,0.2618521347458353,0.19383626082587718,0.18236085042487118,49231,0.8598013836398568,0.4262803929505715,0.8838419006557406
29,Missouri,38.8,0.1492180337523538,0.4770063016189782,0.24690481980226825,0.12768676600129125,0.15533575019767562,61277,0.8985298413727562,0.36788109091494076,0.9205820153429651
30,Montana,40,0.13131841446557327,0.4913157731951677,0.23239278117197248,0.12485664157736039,0.16767753773482666,60691,0.9099181865877324,0.36724199775612854,0.9176436087710577
31,Nebraska,36.7,0.11698333845350156,0.49921696416812383,0.27578919082614983,0.1028972643557622,0.11451088336733106,67462,0.9197887042028356,0.30738738264397814,0.927598198952388
32,Nevada,38.3,0.12293765637340374,0.4434477105867847,0.237460975822783,0.12882574328087606,0.15440077207250122,67234,0.8821176371686376,0.36572718029657303,0.9470030263969064
33,New Hampshire,43,0.11363648530248875,0.5216337525763277,0.22621889973818973,0.073968837032439,0.13593594730416514,83742,0.9385936673216182,0.3275554522837815,0.9443938737978679
34,New Jersey,40,0.09081337542294388,0.5072757918682569,0.2550708717293312,0.09757649533978775,0.11654657337680671,91907,0.9164545284349614,0.340392316440463,0.9388482601328876
35,New Mexico,38.3,0.1707244003014192,0.42595750229439466,0.2571426890659905,0.18325224170785734,0.19323614151429308,55185,0.824629260929092,0.42679285473157696,0.8969892025536738
36,New York,39.2,0.10809195181099818,0.43736512552870793,0.24702421683878167,0.1345034439171746,0.13906268857707285,76870,0.857207758145588,0.36937937343633903,0.921791066579019
37,North Carolina,39,0.13464181840918443,0.47654190514052647,0.2510591502548896,0.13669919196524954,0.16124047186031026,61102,0.8794512779687331,0.37388801169215347,0.9201102242455667
38,North Dakota,35.2,0.10877750784605682,0.4749701461417442,0.2601015515950883,0.1072305597091076,0.12137933973218566,68701,0.9355851672131976,0.30229895833847337,0.9221841019517157
39,Ohio,39.4,0.14067788309626053,0.45325642105936254,0.24535990405960553,0.13351819078735372,0.153143068372416,62030,0.8764152076465227,0.36698699463102846,0.9187993423024589
40,Oklahoma,36.8,0.17929778485358955,0.47798277508398346,0.2622370693092446,0.1521319336798333,0.15874970264804045,57617,0.8742023901033867,0.3851137570429568,0.9202642785138058
41,Oregon,39.6,0.13807328348331144,0.4794754932027253,0.23251917688358562,0.12075503599152491,0.16700784517820313,70696,0.8526353499295274,0.37371872035389264,0.9502325264415523
42,Pennsylvania,40.8,0.13380315057695527,0.47161020579150287,0.23491337291731698,0.11798068657439395,0.15367553991616748,67844,0.8660139714513996,0.3698606135030982,0.9088026826305615
44,Rhode Island,40,0.13240239991479594,0.4442637586141449,0.24717964971060755,0.11259204390306136,0.13282873704814951,76172,0.8528220184690078,0.3462833662876916,0.9207838432500954
45,South Carolina,39.8,0.14783961087422826,0.472067300565105,0.2396760530352624,0.14523415948999174,0.18101383215622455,58541,0.893136522254328,0.3948086148048807,0.9165467123580849
46,South Dakota,37.1,0.11534156665662602,0.49451239086237164,0.2569399810964083,0.1245828815893574,0.13250322818668142,64160,0.9158740120134536,0.32105588931367196,0.9148762648975213
47,Tennessee,38.8,0.16288340263254167,0.47804161752272506,0.23847130224650492,0.14282706839713416,0.16385054098523988,58839,0.8786066149277748,0.3824859217883793,0.9086982806531544
48,Texas,35,0.11524750055229921,0.5000875544627335,0.27966967228910483,0.14030714645836287,0.11637501576714793,70098,0.8849477715411568,0.3489646393872814,0.9392731426758812
49,Utah,31.3,0.10384925334694604,0.6045347994632618,0.32912138140530106,0.08750014138974177,0.104443160634726,80506,0.9407507949975379,0.3085255967758862,0.9673148867461068
50,Vermont,42.7,0.13290728246064176,0.470786319967697,0.23535525820581193,0.10526963981584862,0.14995500583966762,67821,0.8969693044942365,0.34914368110144656,0.9232040957815583
51,Virginia,38.5,0.11306927804120219,0.497881194190107,0.2561198042242024,0.09939513507626423,0.13082448022021367,81193,0.9198698610570696,0.34054255985313187,0.933562216486975
53,Washington,37.9,0.12254189939343843,0.5005690963459478,0.24158335790585078,0.09987007199190989,0.14294124200181307,82791,0.887883756315571,0.3532712020996861,0.9562101082562117
54,West Virginia,42.6,0.20755236689319176,0.48100096717237034,0.21521251360061822,0.16883136908219015,0.23725432834233132,50916,0.8359461982253512,0.4668117026010439,0.8756888291591224
55,Wisconsin,39.6,0.11085155953231417,0.4793040105453452,0.2467926029661722,0.10662449870690084,0.1511114780684796,67405,0.8976937469866576,0.3390806443841249,0.9197024920289547
56,Wyoming,38.2,0.13657101971789107,0.5110403940117839,0.2583133888606604,0.10735522256657117,0.14066380363047623,68352,0.9484203543851587,0.34190642445879493,0.9390382956215614
