"variable","GEOID","NAME","estimate","moe","label","concept"
"B28010_002","22","Louisiana",1565982,6645,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","01","Alabama",1706822,6950,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","25","Massachusetts",2538022,5269,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","24","Maryland",2169790,4894,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","23","Maine",525832,2620,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","39","Ohio",4368120,9726,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","04","Arizona",2533201,6230,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","02","Alaska",248873,1503,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","26","Michigan",3675302,8848,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","05","Arkansas",1040511,4377,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","41","Oregon",1575572,4175,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","46","South Dakota",316345,1499,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","40","Oklahoma",1383956,3243,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","42","Pennsylvania",4678319,8726,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","47","Tennessee",2421491,7190,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","27","Minnesota",2091392,4937,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","06","California",12586778,22128,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","09","Connecticut",1302764,4010,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","11","District of Columbia",292737,2024,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","13","Georgia",3619549,10826,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","44","Rhode Island",392962,2283,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","48","Texas",9617538,18928,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","28","Mississippi",979889,4817,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","08","Colorado",2131145,4031,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","10","Delaware",359187,1906,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","12","Florida",7693785,23141,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
"B28010_002","15","Hawaii",447987,2334,"Estimate!!Total:!!Has one or more types of computing devices:","COMPUTERS IN HOUSEHOLD"
